gene_sz_lastname;gene_sz_firstname;country;gene_i_birthdate;gene_i_size;gene_i_weight;charac_i_plain;charac_i_mountain;charac_i_downhilling;charac_i_cobble;charac_i_timetrial;charac_i_prologue;charac_i_sprint;charac_i_acceleration;charac_i_endurance;charac_i_resistance;charac_i_recuperation;charac_i_hill;charac_i_baroudeur
Bodnar;Maciej;Poland;19850307;186;77;77;62;70;72;76;76;66;68;71;77;73;67;74
Boasson Hagen;Edvald;Norway;19870517;185;75;77;68;75;74;73;75;76;75;72;75;77;72;72
Fernández;Delio;Spain;19860217;178;69;67;73;75;66;64;66;66;68;65;69;68;72;74
Konovalovas;Ignatas;Lithuania;19851208;190;75;73;62;65;71;72;71;60;64;69;72;68;66;72
Froome;Chris;United Kingdom;19850220;186;66;71;76;75;66;73;69;62;70;71;71;76;72;74
Impey;Daryl;South Africa;19841206;181;70;75;72;74;67;74;75;75;76;73;76;76;76;76
Livramento;David;Portugal;19831218;182;55;65;65;67;60;62;62;61;64;65;65;65;66;69
Hivert;Jonathan;France;19850323;170;62;74;70;72;62;66;71;70;72;73;74;66;74;75
Detko;Artur;Poland;19830218;175;62;67;61;64;61;61;60;69;70;66;67;60;65;62
Maté;Luis Ángel;Spain;19840323;178;68;67;74;66;64;62;62;64;68;70;72;73;72;76
Keisse;Iljo;Belgium;19821221;183;72;77;60;76;72;72;71;72;69;72;76;72;62;75
Lemoine;Cyril;France;19830303;182;73;74;62;73;72;70;69;72;71;71;72;68;68;65
Haussler;Heinrich;Australia;19840225;181;74;76;60;74;77;66;69;74;72;77;75;70;68;73
Nibali;Vincenzo;Italy;19841114;181;65;73;78;82;71;73;72;65;72;74;74;78;77;78
Amador;Andrey;Costa Rica;19860829;181;73;74;75;81;72;73;75;69;73;73;75;75;75;72
Ladagnous;Matthieu;France;19841212;182;73;75;66;74;71;69;72;71;72;73;74;68;71;72
Mihaylov;Nikolay;Bulgaria;19880408;183;70;70;68;69;60;70;70;64;66;66;71;69;68;74
Gawronski;Piotr;Poland;19900325;185;73;66;60;64;60;62;66;60;62;65;66;65;64;69
Owsian;Lukasz;Poland;19900224;181;66;73;72;68;65;69;69;66;71;69;74;72;73;77
Fuglsang;Jakob;Denmark;19850322;181;65;75;77;78;72;72;73;70;74;80;77;66;80;78
Firsanov;Sergey;Russia;19830703;173;58;71;71;74;60;68;67;67;71;70;72;70;73;75
Urán;Rigoberto;Colombia;19870126;173;63;72;80;76;65;75;75;67;73;75;75;78;77;75
Bisolti;Alessandro;Italy;19850307;175;58;68;71;70;60;61;60;68;69;67;71;72;71;72
Pozzovivo;Domenico;Italy;19821130;165;53;68;78;76;64;72;71;61;75;74;72;77;76;77
Simon;Julien;France;19851004;176;65;73;67;72;61;62;64;72;73;75;74;70;76;73
Van Avermaet;Greg;Belgium;19850517;181;74;77;70;70;79;69;75;71;75;78;78;72;74;76
Geschke;Simon;Germany;19860313;171;64;72;74;76;64;73;72;67;71;72;76;74;76;76
Matysiak;Bartlomiej;Poland;19840911;184;71;68;62;68;60;61;63;69;69;66;68;64;66;68
Mørkøv;Michael;Denmark;19850430;183;71;78;65;72;70;69;70;78;75;76;78;75;70;73
Clarke;Simon;Australia;19860718;175;63;74;72;77;71;69;68;72;75;77;75;72;77;77
Koren;Kristijan;Slovenia;19861125;183;73;73;67;64;73;70;69;61;63;72;72;69;69;73
Brajkovic;Janez;Slovenia;19831218;175;60;68;72;70;60;67;66;63;64;68;70;72;69;66
Honig;Reinier;Netherlands;19831028;176;62;70;60;65;67;62;63;67;71;67;67;63;70;63
Rojas;José Joaquin;Spain;19850608;177;70;74;71;73;69;62;66;72;72;73;76;74;75;70
Schär;Michael;Switzerland;19860929;198;78;75;71;70;73;70;68;67;67;71;74;74;71;74
Poels;Wout;Netherlands;19871001;183;66;73;78;74;63;74;73;69;74;77;75;75;78;73
Meyer;Cameron;Australia;19880111;181;70;73;71;70;63;74;73;69;70;69;74;68;72;74
Bouet;Maxime;France;19861103;184;67;69;73;66;61;67;65;67;68;68;70;72;71;70
Duarte;Fabio;Colombia;19860611;166;55;68;71;69;60;66;65;66;73;65;69;70;71;76
Erviti;Imanol;Spain;19831115;189;82;75;70;74;72;70;69;67;68;74;74;72;72;68
Costa;Rui;Portugal;19861005;183;69;73;75;76;64;73;72;70;75;76;74;70;78;76
Swift;Ben;United Kingdom;19871105;179;69;76;72;75;64;69;71;74;75;77;76;74;75;72
Guarnieri;Jacopo;Italy;19870814;189;78;75;60;72;71;62;63;73;73;70;72;71;65;63
Oss;Daniel;Italy;19870113;190;75;78;64;66;74;70;72;69;68;76;76;73;70;75
Nieve;Mikel;Spain;19840526;173;62;68;77;69;63;69;67;61;70;73;72;73;74;74
Hebík;Martin;Czech Republic;19821111;0;0;67;62;68;63;65;65;65;66;65;66;62;65;67
Gautier;Cyril;France;19870926;169;65;69;67;68;62;65;64;66;72;70;70;71;73;76
Brändle;Matthias;Austria;19891207;189;77;75;64;77;64;75;76;66;68;71;76;67;66;75
Mestre;Daniel;Portugal;19860401;170;55;68;65;65;62;65;68;67;71;64;67;68;70;68
Pinto;Edgar;Portugal;19850827;175;58;67;73;68;60;66;67;68;69;69;72;72;74;66
Izagirre;Gorka;Spain;19871007;176;66;74;76;78;65;73;75;69;72;75;75;71;77;79
Caldeira;Samuel;Portugal;19851130;180;76;68;60;64;60;62;67;69;68;65;66;64;64;60
Bakelants;Jan;Belgium;19860214;177;67;74;73;72;68;71;71;69;74;73;75;72;74;77
Clarke;Jonathan;Australia;19841218;178;68;70;70;67;60;64;64;66;71;67;70;71;71;75
Downing;Russell;United Kingdom;19780823;171;61;68;63;71;65;63;67;70;69;66;71;66;68;69
De Gendt;Thomas;Belgium;19861106;177;69;75;75;76;67;74;73;66;73;71;80;76;74;83
Garcia;Marcos;Spain;19861204;169;55;67;73;71;60;63;63;64;69;68;71;70;72;72
Komar;Mateusz;Poland;19850718;0;0;71;64;70;60;61;62;68;70;70;71;64;70;71
Kangert;Tanel;Estonia;19870311;178;65;72;76;76;64;76;76;68;72;73;75;73;75;76
Cataldo;Dario;Italy;19850317;175;64;71;74;73;64;73;72;66;72;72;75;74;73;76
Devenyns;Dries;Belgium;19830722;177;64;75;73;71;73;69;73;64;71;74;76;72;74;73
Gesink;Robert;Netherlands;19860531;189;70;73;76;67;65;73;72;67;67;74;77;76;74;78
Gavazzi;Francesco;Italy;19840801;173;65;72;66;62;60;62;64;73;72;70;71;69;73;67
Cavendish;Mark;United Kingdom;19850521;175;70;75;62;77;66;64;70;81;80;70;74;75;65;64
Terpstra;Niki;Netherlands;19840518;190;75;76;60;72;74;72;73;67;65;77;76;71;69;74
Rolland;Pierre;France;19861010;184;70;69;74;64;60;62;63;60;70;68;71;73;72;78
Caruso;Damiano;Italy;19871012;179;67;73;80;73;65;74;73;68;71;73;75;81;76;75
Carvajal;Edwin;Colombia;19830306;0;0;64;66;64;60;60;60;60;60;61;63;61;63;62
Vantomme;Maxime;Belgium;19860308;174;62;73;64;72;72;66;67;70;71;70;72;66;71;73
Thomas;Geraint;United Kingdom;19860525;183;71;76;79;69;72;77;78;67;70;74;76;75;75;75
Teruel;Eloy;Spain;19821120;180;72;68;60;67;60;71;68;63;64;64;65;63;63;66
Trusov;Nikolai;Russia;19850702;186;80;72;60;68;65;62;66;68;66;66;69;65;63;72
Rovny;Ivan;Russia;19870930;173;62;69;70;66;63;65;65;68;67;69;70;69;71;67
Mendes;José;Portugal;19850424;181;64;66;71;65;60;67;66;61;67;67;68;71;71;67
Mestre;Ricardo;Portugal;19830911;175;65;66;63;68;60;70;69;66;69;63;66;66;66;69
Casimiro;Henrique;Portugal;19860422;175;62;68;70;69;60;65;65;65;70;67;70;69;72;67
Stetina;Peter;United States;19870808;183;63;67;73;65;66;67;65;61;66;68;69;70;70;71
Samoilau;Branislau;Belarus;19850525;188;77;70;71;70;60;70;69;64;71;70;73;67;71;75
Lewis;Joseph;Australia;19890113;0;0;66;64;64;60;66;66;68;70;65;65;66;65;63
O'Brien;Mark;Australia;19870916;183;66;65;65;63;60;60;61;61;63;64;63;65;67;63
Bole;Grega;Slovenia;19850813;177;68;71;69;71;67;62;67;71;73;70;72;69;71;70
Degenkolb;John;Germany;19890107;179;82;78;66;75;78;66;76;77;75;79;77;78;69;70
Arroyo;David;Spain;19800107;173;61;70;71;72;60;65;64;64;68;68;71;74;69;74
Herrada;José;Spain;19851001;175;65;71;72;72;60;69;69;63;69;70;72;71;74;76
Doubey;Fabien;France;19931021;174;62;70;73;64;61;67;70;71;73;67;71;70;74;76
Biermans;Jenthe;Belgium;19951030;184;78;75;61;68;74;66;71;73;72;73;75;67;70;65
Cardoso;Filipe;Portugal;19840515;0;0;68;65;69;60;63;66;65;67;67;67;67;68;69
Arashiro;Yukiya;Japan;19840922;170;64;72;66;71;62;64;65;69;71;70;71;69;72;76
Navarro;Daniel;Spain;19830718;175;60;65;74;67;60;66;66;60;69;70;68;75;71;77
De la Fuente;David;Spain;19810504;175;67;65;66;64;60;62;62;63;66;65;66;64;68;68
Castroviejo;Jonathan;Spain;19870427;171;62;75;76;73;64;75;74;65;70;73;77;78;75;72
Felline;Fabio;Italy;19900329;175;68;73;72;72;71;73;75;73;72;73;75;72;72;72
Pinot;Thibaut;France;19900529;180;63;72;80;70;65;73;73;67;75;74;72;68;77;78
Machado;Tiago;Portugal;19851018;178;63;70;69;68;60;71;69;65;71;70;70;71;71;73
Selander;Bjorn;United States;19880128;180;71;65;60;68;60;64;61;65;67;62;60;68;60;62
Bewley;Sam;New Zealand;19870722;191;81;71;63;65;61;69;71;61;65;65;68;68;63;65
Marycz;Jaroslaw;Poland;19870417;181;69;69;62;65;60;66;69;66;66;63;65;66;66;65
Porte;Richie;Australia;19850130;172;62;73;80;71;62;75;74;62;73;72;74;74;77;75
Kruijswijk;Steven;Netherlands;19870607;178;63;71;79;67;64;73;72;61;70;72;74;77;74;77
Van Winden;Dennis;Netherlands;19871202;184;69;74;63;70;68;68;68;72;70;72;73;66;70;68
Kristoff;Alexander;Norway;19870705;181;78;79;65;76;78;72;77;79;77;81;78;81;71;68
Cimolai;Davide;Italy;19890813;185;69;75;62;73;69;63;68;77;77;73;74;74;72;67
Paterski;Maciej;Poland;19860912;186;73;73;67;71;66;66;69;71;73;72;73;72;74;78
Sagan;Peter;Slovakia;19900126;184;78;79;68;80;78;72;75;78;78;78;78;78;72;75
Viviani;Elia;Italy;19890207;178;67;75;63;72;72;67;73;80;81;74;75;75;69;64
Kluge;Roger;Germany;19860205;192;83;78;60;65;69;69;75;76;75;68;78;76;65;70
Ovechkin;Artem;Russia;19860711;173;61;70;72;65;60;72;72;63;70;68;72;68;70;69
Silin;Egor;Russia;19880625;177;61;68;68;69;60;64;65;63;67;67;69;70;67;69
Ulissi;Diego;Italy;19890715;175;63;73;73;74;67;71;73;73;79;71;76;70;81;77
Keukeleire;Jens;Belgium;19881123;185;69;77;65;73;75;68;70;73;72;76;76;73;71;72
Delaplace;Anthony;France;19890911;181;65;73;68;65;66;72;72;65;68;72;74;70;73;78
Oliveira;Nelson;Portugal;19890306;180;67;75;72;68;74;78;77;64;66;74;75;73;73;76
De la Cruz;David;Spain;19890506;182;66;74;78;74;63;73;72;67;72;70;75;76;76;76
Kwiatkowski;Michal;Poland;19900602;176;68;77;74;80;74;76;78;72;75;78;78;76;79;74
Aberasturi;Jon;Spain;19890328;173;69;73;63;71;63;62;68;75;78;70;73;70;74;72
Izagirre;Ion;Spain;19890204;173;60;73;78;79;69;75;75;69;74;75;74;69;78;76
Landa;Mikel;Spain;19891213;173;60;72;81;74;64;71;70;64;72;73;75;82;76;79
Mas;Lluís;Spain;19891015;181;69;74;71;64;66;72;72;69;71;69;74;67;72;79
Modolo;Sacha;Italy;19870619;180;67;73;61;71;71;60;67;76;75;71;72;71;68;61
Brambilla;Gianluca;Italy;19870822;170;57;72;75;76;63;71;69;64;74;73;74;71;76;77
Rossetto;Stéphane;France;19870406;180;67;72;72;65;62;73;71;64;67;66;71;70;73;79
Planckaert;Baptiste;Belgium;19880928;176;66;75;66;73;74;64;69;73;73;75;75;75;73;74
Sarmiento;Cayetano;Colombia;19870328;168;56;65;68;66;60;62;62;60;68;65;66;66;68;72
Atapuma;Darwin;Colombia;19880115;168;59;65;74;73;60;61;61;60;72;69;68;69;71;75
Cano Ardila;Alex;Colombia;19830313;0;0;68;71;66;60;64;62;62;68;64;66;69;71;68
Chalapud;Robinson;Colombia;19840308;175;63;67;73;67;60;65;63;62;66;65;66;66;69;67
Quintana;Nairo;Colombia;19900204;167;59;72;81;74;66;71;70;62;74;73;72;75;76;76
Brown;Nathan;United States;19910707;183;65;68;71;66;60;69;70;61;63;66;67;66;70;67
Dowsett;Alex;United Kingdom;19881003;182;75;76;65;65;62;77;76;64;69;69;75;70;67;68
King;Benjamin;United States;19890322;183;68;72;73;68;64;69;68;67;70;66;73;72;72;78
Mannion;Gavin;United States;19910824;175;58;68;74;69;62;72;70;67;70;67;72;71;72;68
Roe;Timothy;Australia;19891028;183;67;63;66;62;60;63;62;60;64;63;64;67;67;65
Armée;Sander;Belgium;19851210;189;72;74;72;71;65;64;63;62;68;70;75;73;72;78
Baugnies;Jérôme;Belgium;19870401;181;69;74;66;64;68;60;60;68;70;73;73;62;70;65
Vanmarcke;Sep;Belgium;19880728;190;77;79;66;76;80;72;74;73;74;79;78;73;72;75
Cháves;Esteban;Colombia;19900117;164;55;70;79;75;61;71;70;66;78;75;72;69;79;80
Degand;Thomas;Belgium;19860513;176;63;67;71;65;64;69;69;63;70;68;69;72;72;71
Stenuit;Robin;Belgium;19900616;186;78;71;60;73;69;63;63;71;71;67;65;65;64;72
Van Melsen;Kévin;Belgium;19870401;185;77;74;62;66;67;62;64;67;65;69;72;66;67;77
Juul Jensen;Christopher;Denmark;19890706;183;73;74;71;74;68;73;73;66;67;71;76;73;74;76
Bauer;Jack;New Zealand;19850407;191;74;76;66;68;73;73;73;67;67;72;75;74;70;74
Christie;Jason;New Zealand;19901222;178;71;68;60;71;60;70;71;65;67;61;64;65;70;66
Thwaites;Scott;United Kingdom;19900212;178;69;74;64;71;72;64;64;71;71;71;73;71;69;73
Batek;Dariusz;Poland;19860427;185;71;64;64;73;60;63;63;60;63;62;65;67;68;62
Janiszewski;Sylwester;Poland;19880124;165;65;71;62;69;62;62;66;71;72;70;72;65;68;70
Hrinkow;Dominik;Austria;19880804;0;0;66;66;70;60;64;65;65;67;65;65;65;68;70
Hardy;Romain;France;19880824;172;62;72;71;67;60;61;63;71;72;73;71;73;74;72
Le Bon;Johan;France;19901003;180;70;73;62;70;71;72;72;67;70;69;73;67;71;74
Pichon;Laurent;France;19860719;178;69;75;61;68;75;62;71;70;72;75;74;66;73;73
Othman;Muhamad Adiq;Malaysia;19910429;172;57;67;60;63;60;60;60;67;70;61;60;63;63;60
Hegyvari;Adrian;Hungary;19840105;0;0;63;61;65;60;64;65;60;62;60;60;60;62;65
Bouhanni;Nacer;France;19900725;175;65;74;60;70;65;62;67;79;79;72;73;74;68;62
Soupe;Geoffrey;France;19880323;177;70;73;60;70;63;60;69;72;70;67;70;69;64;63
Hurel;Tony;France;19871101;169;66;72;61;68;67;61;64;70;72;67;72;65;70;74
Boaro;Manuele;Italy;19871203;173;64;74;71;68;64;73;75;62;65;67;74;73;71;74
Tratnik;Jan;Slovenia;19900223;173;67;77;71;72;74;77;78;72;73;77;78;73;76;76
Sagan;Juraj;Slovakia;19881223;173;65;72;61;69;69;63;64;69;69;69;71;65;67;69
Bárta;Jan;Czech Republic;19841207;184;75;74;70;73;68;74;73;65;72;70;72;74;70;76
Benedetti;Cesare;Italy;19870803;170;63;73;72;72;63;66;67;68;72;73;75;73;73;78
Claeys;Dimitri;Belgium;19870618;189;77;75;68;68;77;65;69;72;71;78;75;66;73;76
Schwarzmann;Michael;Germany;19910107;174;69;74;66;67;65;63;61;73;74;66;69;67;72;69
Calabria;Fabio;Australia;19870827;164;55;64;60;61;60;60;60;65;65;62;64;60;63;64
Herrada;Jesús;Spain;19900726;183;70;73;77;74;63;74;75;71;75;71;75;73;78;75
Debusschere;Jens;Belgium;19890828;184;77;75;60;70;73;61;66;73;70;74;73;72;68;71
Van Keirsbulck;Guillaume;Belgium;19910214;191;85;75;62;70;74;65;70;64;67;72;74;72;63;72
Vermote;Julien;Belgium;19890726;179;71;73;64;70;68;67;68;65;68;70;71;70;67;68
Matthews;Michael;Australia;19900926;178;72;78;70;75;75;73;77;76;78;77;77;77;78;71
Vermeltfoort;Coen;Netherlands;19880411;190;90;70;60;69;71;60;65;74;73;69;70;62;60;67
Nizzolo;Giacomo;Italy;19890130;184;72;76;63;74;74;62;75;80;80;76;76;77;72;66
Keizer;Martijn;Netherlands;19880325;193;72;70;68;63;60;74;74;60;64;66;69;69;67;77
Edet;Nicolas;France;19871202;176;60;68;74;71;62;67;68;63;71;70;72;73;73;76
Petit;Adrien;France;19900926;188;80;75;60;72;75;65;73;74;72;74;74;72;67;68
Diaz;Daniel;Argentina;19890707;170;61;68;68;67;60;65;68;66;69;65;67;68;69;73
Jules;Justin;France;19860920;167;64;73;63;71;71;62;65;73;74;71;72;67;71;67
Šiškevicius;Evaldas;Lithuania;19881230;181;80;73;61;70;74;64;65;70;70;72;72;65;68;73
Skujinš;Toms;Latvia;19910615;178;70;72;73;75;67;72;72;69;75;74;76;74;77;77
Lander;Sebastian;Denmark;19910311;175;70;69;60;67;62;63;62;66;67;62;63;62;66;65
Van Poppel;Boy;Netherlands;19880118;185;75;75;60;74;70;60;67;73;71;71;73;70;65;65
Boivin;Guillaume;Canada;19890925;180;78;76;66;68;76;62;66;73;72;76;75;71;72;74
De Luna;Flavio;Mexico;19900126;167;59;65;67;65;60;61;61;62;65;63;61;62;66;64
Houle;Hugo;Canada;19900927;185;71;74;73;70;71;75;76;70;69;74;73;71;74;69
De Marchi;Alessandro;Italy;19860519;181;65;74;73;73;62;74;74;66;72;74;77;75;75;81
Santoro;Antonio;Italy;19890913;167;53;64;71;65;60;60;60;62;66;65;68;67;69;67
Pasqualon;Andrea;Italy;19880102;173;69;75;65;74;75;62;66;74;76;75;76;75;75;72
Majka;Rafal;Poland;19890912;173;62;69;79;73;64;72;71;64;74;74;72;70;76;76
Štybar;Zdenek;Czech Republic;19851211;183;68;77;67;78;78;68;68;71;75;77;77;70;73;75
Bilbao;Pello;Spain;19900225;174;60;72;78;81;66;73;74;71;75;71;75;80;79;79
Lobato;Juan José;Spain;19881229;173;64;72;66;68;65;61;65;73;75;70;72;71;73;61
Haller;Marco;Austria;19910401;178;72;78;63;73;76;62;67;76;74;77;76;71;71;74
Bagdonas;Gediminas;Lithuania;19851226;185;78;73;60;71;72;72;72;71;70;70;73;66;65;72
Bennett;Sam;Ireland;19901016;178;73;76;63;71;70;62;67;81;81;69;75;78;69;66
Van Zandbeek;Ronan;Netherlands;19880927;184;71;70;60;69;66;65;65;60;65;64;65;67;67;71
De Vreese;Laurens;Belgium;19880929;190;76;76;64;69;73;61;62;68;68;74;75;65;68;69
Serry;Pieter;Belgium;19881121;186;66;74;73;67;71;71;70;67;73;74;74;72;75;76
Wallays;Jelle;Belgium;19890511;185;77;76;65;73;74;70;73;67;68;74;76;71;70;78
Stallaert;Joeri;Belgium;19910125;180;70;72;60;67;67;61;64;73;72;69;68;62;66;68
Rusli;Amir Mustafa;Malaysia;19870205;0;0;60;60;61;60;62;60;67;66;63;66;66;63;69
De La Parte;Víctor;Spain;19860622;181;64;66;74;65;60;69;70;63;67;69;71;72;72;73
Charucki;Pawel;Poland;19881014;178;62;62;61;62;60;64;62;60;60;63;63;66;65;61
Valgren;Michael;Denmark;19920207;179;71;77;72;74;77;74;74;71;75;79;78;74;78;76
Sütterlin;Jasha;Germany;19921104;184;78;77;70;73;74;76;76;74;72;73;76;74;72;74
Thiele;Kersten;Germany;19920929;180;72;65;60;63;60;62;64;60;62;60;60;60;60;63
Bagües;Aritz;Spain;19890819;177;67;70;64;67;60;63;64;65;68;69;69;66;69;68
Bizkarra;Mikel;Spain;19890821;165;53;65;76;69;60;63;64;63;73;68;69;73;73;74
Bennett;George;New Zealand;19900407;180;58;70;77;73;64;69;68;64;74;75;74;71;78;76
Boswell;Ian;United States;19910207;185;70;66;70;62;64;63;62;60;62;65;63;64;69;69
Craddock;Lawson;United States;19920220;178;69;73;74;77;62;76;76;63;66;72;74;74;74;76
Dombrowski;Joe;United States;19910512;185;68;70;76;67;62;67;67;62;71;68;72;73;74;73
Vink;Michael;New Zealand;19911122;190;73;71;64;67;60;68;67;64;66;67;70;64;67;75
Battaglin;Enrico;Italy;19891117;175;64;71;71;74;60;61;65;72;76;70;73;71;75;73
Colbrelli;Sonny;Italy;19900517;176;74;80;73;74;78;68;73;78;80;79;79;76;78;72
Elissonde;Kenny;France;19910722;169;52;67;76;70;60;66;66;61;74;71;72;74;75;76
Molard;Rudy;France;19890917;178;62;71;73;68;67;68;70;68;73;75;73;75;77;75
Bardet;Romain;France;19901109;184;65;72;80;80;71;72;71;69;76;78;73;73;78;77
Démare;Arnaud;France;19910826;182;78;78;63;78;75;71;75;80;78;77;78;79;70;66
Rebellin;Davide;Italy;19710809;171;63;70;70;74;63;63;65;66;70;70;70;68;73;74
Van der Sande;Tosh;Belgium;19901128;178;64;76;70;71;71;63;62;72;77;75;76;72;75;77
Puccio;Salvatore;Italy;19890831;182;68;75;72;71;71;70;71;68;71;72;76;75;71;68
Rowe;Luke;United Kingdom;19900310;185;72;80;69;71;75;63;67;72;72;77;79;75;71;75
Henao;Sergio Luis;Colombia;19871210;170;61;67;73;73;62;69;69;62;74;73;71;70;74;72
Bol;Jetse;Netherlands;19890908;184;71;71;71;70;64;64;67;69;70;70;72;72;73;75
Kelderman;Wilco;Netherlands;19910325;185;65;74;79;72;66;75;74;70;73;72;75;74;78;75
Howes;Alex;United States;19880101;180;61;68;71;69;64;67;66;70;72;72;70;67;74;73
Kreder;Raymond;Netherlands;19891126;177;70;73;64;71;67;62;67;74;74;69;71;73;70;65
Rathe;Jacob;United States;19910313;185;74;67;60;67;64;61;60;65;65;61;61;66;65;66
Kaupas;Gediminas;Lithuania;19880907;182;70;67;60;62;60;61;60;64;63;61;60;60;60;66
Losch;Max;Luxembourg;19930423;0;0;60;60;60;60;60;60;60;60;60;60;60;61;65
Kerf;Jérôme;Belgium;19930901;182;71;62;60;66;62;60;60;63;64;60;60;60;60;61
Leleu;Antoine;Belgium;19931020;0;0;64;60;67;64;60;60;60;60;60;60;60;60;65
Vliegen;Loïc;Belgium;19931220;183;66;75;70;66;74;63;65;72;74;73;76;68;76;78
Schweizer;Christoph;Germany;19860304;175;67;64;60;60;60;61;61;67;68;62;61;60;60;60
Barbero;Carlos;Spain;19910429;178;66;73;66;70;71;61;64;73;75;73;72;65;72;67
Fraile;Omar;Spain;19900717;184;72;75;75;75;63;70;70;72;75;72;77;72;74;78
Zuazubiskar;Illart;Spain;19900218;0;0;65;61;66;60;67;66;60;60;61;65;67;63;61
Gaugl;Florian;Austria;19910108;0;0;62;65;61;60;60;60;60;62;63;63;63;62;60
Groenewegen;Dylan;Netherlands;19930621;177;70;76;62;76;70;63;69;82;80;71;76;79;66;63
Kouwenhoven;Sjoerd;Netherlands;19901103;191;72;68;63;62;63;60;60;60;60;62;63;63;65;72
Ottema;Rick;Netherlands;19920625;192;77;71;63;71;66;61;65;67;70;69;70;64;68;73
Pot;Sebastiaan;Netherlands;19930812;186;68;62;68;62;60;60;60;60;60;60;61;63;66;60
Havik;Yoeri;Netherlands;19910219;179;66;67;60;69;61;62;64;70;71;62;64;61;62;63
De Kort;Bram;Netherlands;19910607;188;75;66;60;63;62;63;64;60;60;60;60;62;64;65
Hamelink;Jasper;Netherlands;19900112;185;67;68;60;71;60;67;67;60;63;61;63;68;64;67
Van Luijk;Sven;Netherlands;19891013;162;55;65;64;64;60;61;60;60;64;63;61;67;68;67
Schulting;Peter;Netherlands;19870819;182;70;72;62;70;63;61;62;61;63;68;71;66;67;72
Te Stroet;Rens;Netherlands;19890923;184;78;67;60;65;62;63;62;68;67;61;62;65;61;60
Beneke;Calvin;South Africa;19911224;0;0;62;60;61;60;60;60;60;62;60;60;60;63;64
Grmay;Tsgabu;Ethiopia;19910825;175;63;70;73;71;60;66;67;60;69;69;70;71;73;75
Janse Van Rensburg;Reinardt;South Africa;19890203;182;74;74;67;73;72;67;73;74;72;69;73;67;70;71
Jim;Songezo;South Africa;19900917;176;66;65;63;65;60;62;62;61;62;63;64;64;64;68
Niyonshuti;Adrien;Rwanda;19870102;175;63;60;64;70;60;60;63;60;63;60;61;60;65;67
Kamp;Alexander;Denmark;19931214;183;69;75;66;73;65;62;67;73;76;74;75;70;76;74
Tsatevich;Alexei;Russia;19890705;169;64;70;62;68;68;63;64;70;70;68;70;67;69;69
Selig;Rüdiger;Germany;19890219;188;80;77;61;75;73;65;67;77;75;74;77;73;66;68
Trentin;Matteo;Italy;19890802;179;74;79;69;76;76;69;76;76;78;77;79;75;76;78
Lindeman;Bert-Jan;Netherlands;19890616;180;69;71;70;68;68;63;64;67;68;67;71;67;71;74
Markus;Barry;Netherlands;19910717;179;72;65;60;64;63;60;61;68;67;63;66;62;60;60
Anacona;Winner;Colombia;19880811;179;65;66;75;65;60;68;67;60;70;69;72;72;73;71
Dumoulin;Tom;Netherlands;19901111;185;69;77;78;75;68;80;77;66;69;73;77;79;74;77
